id,text,label
1047,"No, they're the same species. If you put all these fish in the same pool at the end they would all breed with each other. The example wasn't of speciation, merely of a change in a population driven by the environment, which is the essense of evolution.",notsarc
646,And it is heat that resets the clock. Thus it is volcanic rock and ash that can be dated most reliably.,sarc
432,"Oh, well, that convinces me.",sarc
1875,Interesting thought..... such a situation would theorectically remove the division of opinion that exists based upon the perspective of gender (ie. the pro-life religious male) and would make any difference of opinion be based on moral/philosophical considerations alone.   You could argue it would shift opinion towards the mix currently held by women as everyone would be in the position of having to bear pregnancy. Given that there is a full mix of religious and other beliefs in the current day female population perhaps this would be a good analogy to such a state of being you suggest.,notsarc
750,Only if she's piloting at the same time.,sarc
1217,"But let me guess ... if they step down RIGHT after they find they will have to issue to gay couples, you'd be in favor of them being able to be sued for it, simply because the ""discrimination"" in such an event was toward gays? Right? At least if you are consistent with your stance elsewhere in regards to 'timing' ...   Anyway, aside from that inconsistency with your position elsewhere, I agree that county officials should need to comply. After all, there are probably OTHER examples whereby county officials have to do things that they are religiously against, such as issue divorce papers. Or marry some drunk couple that they know aren't really being serious even though they're tying the knot ... If all county officials could just refuse to do their job because of their objections--for WHATEVER reasons--it would be a collosal mess.",notsarc
1010,"Misunderstanding or misrepresentation? Biologists and geneticists do not claim that DNA is isolated from the environment. We are well aware that the environment can cause mutations under many conditions (cosmic radiation, x-ray, etc.). What is denied is that mutations are environmentally directed - in other words, exposure to cosmic radiation will not cause a mutation that will make the organism resistant to cosmic radiation. The mutations will be random.   On the other hand, natural selection IS, by definition, the response of populations to their environment. The environment has been shown to have effects on DNA, i.e., the genome of the population.",notsarc
450,Oh joy another drive by with absolutely no proof or evidence.,sarc
1619,"think about what you just typed, that doesn't make any sense.",notsarc
1640,"It is worse then that they just don't get it. Once you put some civil rights on the ballot nothing is off limits. Freedom of speech, religion, assembly ect.. they are all up to be voted out of existence for an unpopular minority by the majority. They just don't get it.",notsarc
258,"No, I for one dislike your posts because I know you intentionally write irrational posts to help support your religious cause.   Just for the record montalban, basically every single legitimate scientist is ""pro-evolution"". Creation theory is not taught in public schools, not by chance, but because...*gasp* it's RELIGIOUS MUMBO JUMBO. There is no evidence to support it. Creation fiction has made no progress with it's ""faith-based"" (lackofevidence) with rational people.   And I'll also say that I'd welcome ad hominem over irrational thinking any day. Ad hominem is just a lack of patience, or someone who doesn't care to hide their emotion or opinion. Irrational thinking on the other hand is often only cured by death. Someone guilty of ad hominem can still hold a rational debate. The irrational..well, why bother?   -Mach",sarc
1023,From that site:,notsarc
1778,"Actually, if you bothered to pay any attention whatsoever, it actually goes against your point entirely. Just because WSM and I were both in ""heterosexual"" Style relationships, doesn't change the fact that both of us are indeed homosexuals and therefore proves that homosexuals do indeed have children, planned or not.   Mine too was kind of a suprise. I was on the ""pill"" but was also taking antibiotics at the time and for anyone who doesn't already know, antibiotics will completely cancel out the affects of the birth control pill. I was NOT aware of this at the time and low-and-behold I ended up pregnant with my son.   p.s. just for general information, I was not taking ""the pill"" for birth control reasons.   Not all women who are prescribed it are even sexually active at all. The birth control pill contains synthetic or naturally dirived female hormones, which for some women aids them in attaining a more regular period. Many women atheletes are prescribed birth control because being extremely athletic can disrupt, postpone or completely do away with a woman's natural cycle. Taking birth control helps to ""normalize"" female hormone levels. Such was my case.",notsarc
1870,"But we certainly have the right to evict such persons.   But then, regardless, the embryo is not a person.",notsarc
1852,"Well regulated as in the second amendment does not mean regulated by the government, it means well equiped and prepared. The framers of the constitution often spoke of a tyrannical government and how to keep one from coming to power, so why in the hell would they have said lets just give the government total control of guns. Your definition of well regulated makes about as much sense as adding another day to the week.",notsarc
1367,"Let's not confuse our readers. supersport is not saying it's evolution; he's saying that ""evolutionists"" say that it's evolution. It should be clear now to the readers that scientists recognized perfectly well that this is an example of plasticity.",notsarc
1465,"So then the law is flawed because criminals could just as easily get their hands on select firearms, ban or no ban. You've just admitted that the bill did nothing and thus there's no justification for it to be reinstated.",notsarc
1616,"Because self-defence, unlike most other 'reasons', automatically allows all citizens firearm access, and in most cases allows firearm acess without mandatory training/evaluation. When this occurs, you are much more likely to get misuse of firearms.   If you read around you'll see that I consider all rights as needing justification. This comes both from my stance as a relativist and as a UK citizen, where there is no formalised Constitution. Ask yourself this - if a right cannot be justified, why should it be treated as a 'right'?",notsarc
1312,Excellent point Doc,notsarc
1408,"uh, yeah, that was their intent! Under color of law no less. The truth always seems to be your worst enemy doesn't it?",notsarc
286,"Oh dear, you are one of those people: a ""twit absolutist"" as you might say. Please keep your silly ""ism"" labels to yourself.   ""Moral relativist"" is like ""rectangular square"": it's a tautology.",sarc
1863,Well they'd be the experts on it; most of their members have been ruled as fitting under said category.   Let's face facts. Nobody who's in their right mind could actually believe the kind of nonsense they spread.,notsarc
784,I still haven't heard an answer to this yet?,sarc
1819,This remains unspecified. (I explained this in the last paragraph),notsarc
1944,See Begging the Question,notsarc
253,"It's sophomoric remarks like that that hurt the gay cause in America.   God isn't mocked, though. And I doubt the people are either.   And I'm glad California outlawed the sin. The only thing you have left is to hope the far left, spiritually-stunted judges in the US Supreme Court are pro Sodom and Gomorrah.",sarc
1965,"When will it stop? Never. They will take every gun, every toy gun, disarm the law enforcment community, give us Nerf batons so we don't actually hurt the criminals, and say that this kinder gentler way of doing things will help. In the meantime murders will go through the roof, like in Australia, rape will escalate, breaking and entering will become common place, and cops will die by the minute. They will not only confiscate the guns, but then charge the owners of those guns for being terrorists. It won't end. In order to establish true dependency upon a government you must force the populous to rely completely on the government for every aspect of life including safety.",notsarc
1727,"Prove it. Got any credible scientific or sociological studies? NOPE, ya don't. Didn't think so.",notsarc
79,"And could you be anymore of a drama queen about it, using the raw sweage thing. That is such a stretch of the truth. People straight and gay have been sodomizing for years and their are very few cases of any of e coli every year. Stop drama queening out!",sarc
452,So you are not an American? You believe that your religion should be forced on everyone by the government? Is it OK if I am allowed to teach your children my religion?,sarc
127,Yep thats true.   There in separate buildings but right next to each other.   I see it being about as attractive as a crack house next to a school with a revolving door in front.,sarc
373,"Oh, it certainly is an issue. Martin Killias, a Swiss criminologist, did find a link between gun ownership and homicide in Switzerland. However, my point was to ask you if you would be willing to abide by such regulations. The law in Switzerland requires that military weapons kept in the home be unloaded and stored under lock and key.   I don't think Switzerland is a gun-nut utopia.",sarc
552,"Color is a function of the wavelength of light. Thus, quantum considerations aside, there are a nigh infinite number of colors. Humans, of course, can only see a subset of those colors, ranging from about 400 to 700 nanometers. In particular, our eyes have cells ""tuned"" to three ranges of wavelengths; blue, red, and green. You could think of those as short, medium, and long wavelengths. By extrapolating from the relativity intensities from the particular cells we can ""figure out"" what wavelength is entering our eyes.   http://www.cambridgeincolour.com/tut...perception.htm   Does this dispell your confusion?   Edit:   And just to address one other point, scientists are well aware of the limitations of the human eye. That's why, when exact determination of color is important, machines that can read precise wavelengths are used, rather than relying on the known to be limited instrument which is the human eye.",sarc
1534,"But...but...   I just swallowed 56 zygotes so that they could vote by proxy through me for the Ripofflican(tm) party this upcoming election so they can win. Now I'm going to have all that indigestion for nothin'.   As to driving...don't care.   What I'll miss most is all of those credit card offers that come in their names. There's just so much that they, living though me want to 'buy now and pay later' on. You saying they can't do that?",notsarc
734,"Also, the world has ended and you are just in denial.   We don't need random assertions, so support your claims!",sarc
623,"Yeah, I should, then we could have a more intelligent converstation   You understand that in the Plaxico Burris case, the ""authorities"" did just exactly that, found ammo of a different caliber and assumed he had those guns too. Article today on that at RKBA.   Of course, you would probably be more interested in this:   Texas jury jails man 35 years for marijuana possession | Raw Story At first I thought maybe you had come to see old Doc and got waylaid on the way. Nice to see you posting whatever!",sarc
953,HEY!! We agree on something.,sarc
